OBJECTID;CODIGO;TIPO_CONST;TIPO_DOMIN;NUMERO_PIS;IDENTIFICA;GRIDCODE;Area_ha;Amenaza;Grado;Escenario;Escala
452;544980101000000180047000000000;NO CONVENCIONAL;PRIVADO;1;B;3;0,00038439800;Alta;3;Avenida Torrencial;1:2.000
453;544980101000000180055000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00805737000;Alta;3;Avenida Torrencial;1:2.000
454;544980101000000180062500000001;CONVENCIONAL;PRIVADO;1;A;3;0,00641807000;Alta;3;Avenida Torrencial;1:2.000
455;544980101000000180069000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00821606000;Alta;3;Avenida Torrencial;1:2.000
456;544980101000000180060000000000;NO CONVENCIONAL;PRIVADO;1;A;3;0,00536736000;Alta;3;Avenida Torrencial;1:2.000
457;544980103000001130002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00222930000;Alta;3;Avenida Torrencial;1:2.000
458;544980103000001130005000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00216263000;Alta;3;Avenida Torrencial;1:2.000
459;544980103000001130001000000000;CONVENCIONAL;PRIVADO;3;A;3;0,00616922000;Alta;3;Avenida Torrencial;1:2.000
460;544980103000001130006000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00327781000;Alta;3;Avenida Torrencial;1:2.000
461;544980103000001130007000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00173999000;Alta;3;Avenida Torrencial;1:2.000
462;544980101000000990009000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00162106000;Alta;3;Avenida Torrencial;1:2.000
463;544980101000000990009000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00162106000;Alta;3;Avenida Torrencial;1:2.000
